pred_avg_ordersize_seller,pred_avg_2w_rpc_seller,pred_convrt_dept_seller,pred_avg_2w_ordersize_seller,pred_avg_convrt_seller,pred_convrt_seller,pred_ordersize_seller,sem_rpc_seller_l,pred_rpc_seller,pred_avg_2w_convrt_seller,sem_ordersize_seller_l,pred_rpc_new_seller,sem_convrt_seller_l,sem_orders_seller_l,pred_rpc_dept_seller,pred_avg_rpc_seller,sem_clicks_l,pred_ordersize_dept_seller
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.14285714285714285,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,2.54,0.3333,7.620762076208,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,2.54,0.0,0.0,7.620762076208
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
